iter	Passed	Remaining
0	1	116
1	2	106
2	3	100
3	3	92
4	4	91
5	5	91
6	6	90
7	7	90
8	8	89
9	9	89
10	10	88
11	11	87
12	12	85
13	13	84
14	14	83
15	15	82
16	16	81
17	17	80
18	18	78
19	19	77
20	20	76
21	21	76
22	22	74
23	23	73
24	24	72
25	25	71
26	26	70
27	26	69
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	31	62
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	36	55
40	37	54
41	38	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	47	40
54	47	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	33
61	53	32
62	54	32
63	55	31
64	56	30
65	57	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	25
71	62	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	70	15
82	71	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	80	5
94	80	4
95	81	3
96	82	2
97	83	1
98	84	0
99	84	0
