iter	Passed	Remaining
0	134	134576
1	136	68093
2	144	48120
3	147	36784
4	149	29731
5	151	25159
6	153	21806
7	155	19282
8	157	17310
9	159	15767
10	161	14488
11	163	13446
12	167	12685
13	172	12121
14	178	11694
15	179	11052
16	181	10488
17	183	10010
18	185	9567
19	186	9157
20	188	8788
21	190	8483
22	193	8226
23	195	7948
24	197	7691
25	199	7457
26	200	7242
27	203	7050
28	211	7067
29	225	7291
30	227	7103
31	229	6928
32	232	6808
33	234	6657
34	240	6622
35	241	6476
36	243	6338
37	245	6208
38	246	6079
39	248	5953
40	249	5832
41	250	5718
42	254	5665
43	255	5560
44	257	5460
45	258	5363
46	260	5275
47	261	5187
48	262	5102
49	264	5023
50	266	4952
51	267	4872
52	268	4796
53	269	4721
54	270	4650
55	271	4584
56	273	4529
57	275	4478
58	276	4417
59	280	4388
60	281	4331
61	282	4276
62	283	4222
63	285	4172
64	286	4121
65	287	4072
66	288	4024
67	290	3977
68	291	3932
69	294	3918
70	296	3876
71	297	3834
72	298	3794
73	300	3757
74	301	3719
75	303	3694
76	305	3657
77	306	3621
78	307	3586
79	309	3559
80	311	3530
81	312	3502
82	313	3464
83	315	3438
84	316	3412
85	318	3383
86	319	3353
87	320	3324
88	323	3316
89	325	3288
90	326	3261
91	327	3236
92	329	3212
93	330	3186
94	331	3161
95	333	3136
96	334	3112
97	335	3088
98	338	3081
99	339	3059
100	341	3039
101	342	3015
102	343	2992
103	344	2970
104	346	2950
105	347	2929
106	348	2908
107	349	2888
108	350	2868
109	353	2861
110	355	2845
111	356	2826
112	357	2808
113	359	2790
114	360	2773
115	361	2756
116	362	2737
117	363	2720
118	365	2703
119	369	2709
120	371	2699
121	372	2680
122	373	2665
123	375	2649
124	376	2633
125	377	2621
126	378	2604
127	380	2589
128	381	2575
129	385	2580
130	387	2571
131	389	2560
132	390	2548
133	392	2537
134	395	2535
135	399	2536
136	402	2534
137	404	2524
138	405	2514
139	407	2505
140	409	2495
141	411	2487
142	421	2527
143	426	2534
144	428	2524
145	430	2518
146	432	2507
147	438	2525
148	440	2518
149	442	2509
150	447	2513
151	452	2525
152	454	2514
153	456	2507
154	458	2497
155	459	2486
156	463	2490
157	468	2494
158	469	2483
159	470	2471
160	471	2458
161	473	2447
162	474	2436
163	478	2439
164	480	2429
165	482	2421
166	483	2410
167	484	2400
168	486	2394
169	488	2383
170	489	2373
171	493	2376
172	495	2366
173	496	2356
174	497	2346
175	499	2336
176	500	2328
177	501	2317
178	503	2307
179	504	2297
180	508	2302
181	510	2296
182	512	2287
183	514	2280
184	517	2281
185	520	2278
186	524	2281
187	526	2273
188	528	2268
189	530	2261
190	532	2254
191	533	2246
192	535	2240
193	539	2241
194	541	2234
195	543	2227
196	544	2220
197	546	2212
198	550	2216
199	552	2209
200	554	2202
201	555	2195
202	562	2207
203	563	2200
204	569	2206
205	570	2198
206	571	2190
207	573	2182
208	574	2173
209	579	2179
210	583	2180
211	584	2174
212	586	2166
213	587	2157
214	589	2150
215	590	2142
216	591	2133
217	592	2124
218	593	2117
219	594	2109
220	599	2114
221	601	2107
222	602	2100
223	605	2097
224	607	2090
225	608	2083
226	609	2075
227	611	2071
228	613	2065
229	615	2059
230	616	2053
231	618	2048
232	622	2047
233	628	2056
234	629	2050
235	631	2044
236	633	2040
237	635	2035
238	637	2030
239	648	2052
240	649	2045
241	650	2038
242	652	2032
243	653	2024
244	656	2024
245	659	2020
246	661	2017
247	663	2011
248	665	2005
249	666	2000
250	669	1999
251	672	1994
252	673	1988
253	674	1982
254	676	1975
255	677	1968
256	678	1962
257	685	1970
258	686	1963
259	687	1957
260	688	1950
261	690	1943
262	691	1937
263	692	1931
264	693	1924
265	697	1926
266	699	1919
267	700	1913
268	701	1907
269	703	1901
270	704	1894
271	705	1888
272	707	1882
273	708	1876
274	709	1870
275	714	1873
276	715	1868
277	717	1862
278	718	1856
279	719	1850
280	720	1844
281	722	1838
282	723	1832
283	724	1826
284	727	1826
285	729	1820
286	730	1815
287	731	1809
288	733	1803
289	734	1798
290	735	1792
291	736	1786
292	738	1781
293	739	1775
294	742	1775
295	744	1769
296	745	1764
297	746	1758
298	747	1753
299	749	1748
300	750	1743
301	751	1737
302	753	1732
303	754	1726
304	757	1726
305	759	1722
306	760	1717
307	762	1712
308	764	1709
309	765	1704
310	766	1699
311	768	1693
312	769	1688
313	772	1687
314	773	1682
315	775	1678
316	776	1673
317	777	1668
318	779	1663
319	780	1658
320	781	1653
321	783	1649
322	784	1644
323	787	1642
324	788	1638
325	790	1633
326	791	1628
327	792	1623
328	793	1618
329	794	1613
330	796	1609
331	797	1604
332	798	1599
333	801	1598
334	803	1594
335	804	1589
336	805	1585
337	806	1580
338	808	1575
339	809	1571
340	810	1567
341	812	1562
342	813	1558
343	816	1556
344	818	1553
345	819	1548
346	820	1544
347	821	1539
348	823	1535
349	824	1530
350	825	1526
351	826	1521
352	827	1517
353	828	1512
354	831	1511
355	832	1506
356	834	1502
357	835	1498
358	837	1494
359	838	1490
360	839	1486
361	841	1482
362	842	1478
363	843	1474
364	847	1474
365	849	1471
366	850	1467
367	852	1464
368	854	1461
369	855	1457
370	857	1453
371	858	1449
372	861	1448
373	863	1444
374	864	1440
375	865	1436
376	866	1432
377	868	1428
378	869	1424
379	870	1420
380	871	1416
381	873	1412
382	874	1408
383	877	1406
384	878	1402
385	879	1399
386	882	1397
387	883	1393
388	884	1389
389	885	1385
390	887	1382
391	888	1378
392	892	1379
393	894	1375
394	897	1374
395	898	1370
396	899	1366
397	900	1362
398	901	1358
399	903	1354
400	904	1350
401	907	1349
402	908	1345
403	909	1341
404	910	1338
405	912	1334
406	913	1330
407	914	1326
408	915	1323
409	916	1319
410	918	1315
411	919	1312
412	922	1311
413	923	1307
414	925	1304
415	926	1300
416	927	1296
417	928	1293
418	930	1289
419	931	1285
420	932	1282
421	933	1278
422	935	1275
423	937	1273
424	939	1270
425	940	1267
426	943	1265
427	944	1262
428	945	1258
429	947	1255
430	951	1256
431	953	1253
432	954	1249
433	955	1246
434	956	1242
435	958	1239
436	959	1236
437	960	1232
438	961	1229
439	963	1225
440	965	1224
441	967	1221
442	968	1217
443	969	1214
444	970	1210
445	971	1207
446	973	1203
447	974	1200
448	975	1197
449	977	1194
450	980	1194
451	982	1191
452	984	1188
453	987	1188
454	989	1185
455	991	1182
456	992	1179
457	996	1179
458	998	1176
459	1000	1173
460	1001	1171
461	1003	1168
462	1005	1165
463	1007	1163
464	1008	1160
465	1012	1160
466	1014	1158
467	1016	1155
468	1017	1152
469	1019	1149
470	1021	1147
471	1023	1144
472	1025	1142
473	1027	1140
474	1029	1137
475	1031	1135
476	1033	1132
